[debug] main started
[debug] press q to quit
[debug] terminal created: 120x40
[debug] frame=0 elapsed=0.00s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=30 elapsed=1.02s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=60 elapsed=2.03s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=90 elapsed=3.04s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=120 elapsed=4.06s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=150 elapsed=5.08s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=180 elapsed=6.09s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=210 elapsed=7.10s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=240 elapsed=8.12s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=270 elapsed=9.13s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=300 elapsed=10.14s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=330 elapsed=11.16s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=360 elapsed=12.17s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=390 elapsed=13.19s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=420 elapsed=14.20s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=450 elapsed=15.21s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=480 elapsed=16.23s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=510 elapsed=17.25s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=540 elapsed=18.26s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=570 elapsed=19.27s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=600 elapsed=20.28s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=630 elapsed=21.30s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=660 elapsed=22.31s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=690 elapsed=23.32s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=718 elapsed=24.33s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=747 elapsed=25.34s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=777 elapsed=26.36s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=805 elapsed=27.38s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=835 elapsed=28.41s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=865 elapsed=29.42s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=895 elapsed=30.44s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=925 elapsed=31.45s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=955 elapsed=32.47s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=984 elapsed=33.48s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=1014 elapsed=34.50s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=1044 elapsed=35.51s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=1074 elapsed=36.53s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=1104 elapsed=37.55s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=1134 elapsed=38.56s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=1164 elapsed=39.59s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=1192 elapsed=40.60s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=1222 elapsed=41.62s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=1252 elapsed=42.63s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=1282 elapsed=43.65s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=1311 elapsed=44.67s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=1339 elapsed=45.69s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=1369 elapsed=46.70s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=1399 elapsed=47.72s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=1429 elapsed=48.74s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=1459 elapsed=49.77s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=1489 elapsed=50.78s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=1519 elapsed=51.80s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=1549 elapsed=52.81s visible_vertices=8/8 drawn_edges=12/12
[debug] frame=1579 elapsed=53.83s visible_vertices=8/8 drawn_edges=12/12
[debug] q pressed; exiting main loop
